tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
8,Group2,4582.0,0.772558,3536.0,2582.6885
8,Group1,3746.0,0.726603,2368.0,2569.7674
8,Group2,2592.0,0.599923,1552.0,3972.7637
8,Group2,1222.0,0.959737,1168.0,90.4176
8,Group1,4856.0,0.784741,3744.0,7291.395
8,Group2,3623.0,0.716418,2592.0,7329.255
8,Group1,5900.0,0.818198,4640.0,1377.3772
8,Group2,1284.0,0.950743,1216.0,7317.1371
8,Group2,5612.0,0.816123,4576.0,7315.1764
8,Group2,6871.0,0.850568,5840.0,7335.1869
8,Group1,8828.0,0.883447,7792.0,2868.362
8,Group1,7354.0,0.921318,6768.0,7353.8284
8,Group1,5958.0,0.82435,4848.0,6270.7038
8,Group1,9865.0,0.894662,8816.0,6321.5006
8,Group1,8391.0,0.878282,7360.0,7764.6188
8,Group2,7901.0,0.998987,7888.0,122.4339
8,Group2,4654.0,0.777802,3616.0,6299.8887
8,Group2,6646.0,0.843628,5600.0,6303.2901
8,Group2,1344.0,0.955937,1280.0,7761.6222
8,Group1,6986.0,0.85013,5888.0,6327.3976
