estimated_prefill_fraction,tenant_count,turn_index,tenant_id,history_limit_tokens,ttft_ms,blocking_ms,estimated_prefill_ms,estimated_remaining_ttft_ms,input_tokens,prefix_hit_tokens,computation_tokens
0.5,32,7,20,12288,52883.6802,0.4772,26441.6015,26441.6015,4016.0,48.0,3968.0
0.5,32,7,31,12288,79689.1331,47801.1925,15943.970300000004,15943.970300000004,4129.0,48.0,4081.0
0.5,32,8,2,24576,357089.126,304337.7746,26375.675699999993,26375.675699999993,15729.0,832.0,14897.0
0.5,32,8,3,24576,66129.8646,15211.2005,25459.33205,25459.33205,15979.0,13632.0,2347.0
0.5,32,8,27,12288,21156.0898,0.482,10577.8039,10577.8039,5026.0,0.0,5026.0
0.5,32,8,21,12288,8701.2181,0.0171,4350.6005000000005,4350.6005000000005,4610.0,48.0,4562.0
0.5,32,8,28,12288,21182.6157,0.5254,10591.04515,10591.04515,4855.0,0.0,4855.0
0.5,32,8,18,12288,48201.6235,2685.7114,22757.95605,22757.95605,4609.0,48.0,4561.0
0.5,32,8,19,12288,48251.9005,0.464,24125.71825,24125.71825,4607.0,48.0,4559.0
0.5,32,8,23,12288,8696.0062,0.0071,4347.9995499999995,4347.9995499999995,4610.0,4016.0,594.0
0.5,32,8,32,12288,66137.1586,2685.6403,31725.759149999998,31725.759149999998,4788.0,0.0,4788.0
0.5,32,8,26,12288,107738.6147,60350.5436,23694.035550000004,23694.035550000004,4610.0,48.0,4562.0
0.5,32,8,22,12288,66063.4759,15211.183,25426.14645,25426.14645,4611.0,48.0,4563.0
0.5,32,8,30,12288,107692.9382,60350.5102,23671.214000000004,23671.214000000004,4788.0,48.0,4740.0
0.5,32,8,31,12288,107788.172,42309.0441,32739.563950000003,32739.563950000003,4789.0,48.0,4741.0
0.5,32,8,14,24576,6037.1298,0.0453,3018.54225,3018.54225,15602.0,13296.0,2306.0
0.5,32,8,20,12288,312218.3725,282095.6435,15061.364499999996,15061.364499999996,4610.0,48.0,4562.0
0.5,32,8,15,24576,48143.3197,2685.6765,22728.8216,22728.8216,15601.0,13296.0,2305.0
0.5,32,8,9,24576,66057.5123,15211.1659,25423.1732,25423.1732,15600.0,13296.0,2304.0
0.5,32,8,16,24576,21174.8507,0.5014,10587.174649999999,10587.174649999999,15361.0,13216.0,2145.0
0.5,32,8,1,24576,107686.5699,60350.527,23668.02145,23668.02145,15897.0,13360.0,2537.0
0.5,32,8,8,24576,134749.5382,83868.2802,25440.629000000008,25440.629000000008,15601.0,13296.0,2305.0
0.5,32,8,6,24576,48138.3354,2685.6575,22726.33895,22726.33895,15727.0,10128.0,5599.0
0.5,32,8,13,24576,134748.0036,60350.4898,37198.75689999999,37198.75689999999,15601.0,1664.0,13937.0
0.5,32,8,7,24576,48191.5762,2685.6938,22752.9412,22752.9412,15602.0,13296.0,2306.0
0.5,32,8,4,24576,89537.5687,15211.1486,37163.21005,37163.21005,15976.0,240.0,15736.0
0.5,32,8,29,12288,722204.296,706357.0872,7923.604400000011,7923.604400000011,4790.0,0.0,4790.0
0.5,32,8,5,24576,107744.2497,60350.5608,23696.84445,23696.84445,15663.0,13504.0,2159.0
0.5,32,8,17,12288,720551.8234,706357.139,7097.342200000014,7097.342200000014,4610.0,48.0,4562.0
0.5,32,8,24,12288,720533.4029,706357.1043,7088.14929999999,7088.14929999999,4609.0,48.0,4561.0
0.5,32,8,25,12288,720537.4076,706357.1215,7090.143050000013,7090.143050000013,4609.0,48.0,4561.0
0.5,32,8,10,24576,158824.3405,83868.2635,37478.038499999995,37478.038499999995,15601.0,48.0,15553.0
0.5,32,8,12,24576,309801.5738,102106.55,103847.51190000001,103847.51190000001,15601.0,2944.0,12657.0
0.5,32,8,11,24576,334719.4525,304337.7918,15190.830350000004,15190.830350000004,15599.0,48.0,15551.0
0.5,32,9,11,24576,829752.6973,759742.9632,35004.86705,35004.86705,17792.0,48.0,17744.0
0.5,32,9,18,12288,24228.0354,0.0163,12114.00955,12114.00955,5430.0,48.0,5382.0
0.5,32,9,17,12288,45033.3206,0.5234,22516.3986,22516.3986,5431.0,4608.0,823.0
0.5,32,9,23,12288,24274.7963,0.0264,12137.384950000001,12137.384950000001,5432.0,48.0,5384.0
0.5,32,9,29,12288,62000.9479,9285.696,26357.62595,26357.62595,5412.0,4784.0,628.0
0.5,32,9,19,12288,44959.2644,0.5061,22479.37915,22479.37915,5429.0,48.0,5381.0
0.5,32,9,28,12288,61997.7806,9285.6784,26356.051099999997,26356.051099999997,5456.0,0.0,5456.0
0.5,32,9,31,12288,91528.7012,30200.6867,30664.00725,30664.00725,5411.0,48.0,5363.0
