exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp3,4,slowest,15,Group1,15,17695.92108397046,17695.2651469619,2296.0,6603.0,0.664327485380117
exp3,4,slowest,11,Group1,16,33229.07063597813,33228.41469896957,2295.0,6602.0,0.6644246234829654
exp3,5,fastest,2,Group1,1,0.0,3265.460863010958,2087.0,9324.0,0.7768153138701743
exp3,5,fastest,24,Group2,2,666.2414689781144,3900.8539270143956,710.0,2518.0,0.7380073800738007
exp3,5,fastest,19,Group2,3,666.2414689781144,3900.8539270143956,708.0,2516.0,0.7385524372230429
exp3,5,slowest,6,Group1,13,20870.21750898566,20869.47102600243,2075.0,9232.0,0.775505788164016
exp3,5,slowest,16,Group1,14,20870.21750898566,20869.47102600243,2246.0,8662.0,0.7463293426699796
exp3,5,slowest,21,Group2,15,40658.134967961814,40657.38848497858,710.0,2518.0,0.7380073800738007
exp3,6,fastest,31,Group2,1,0.0,572.356746008154,666.0,3259.0,0.8042328042328042
exp3,6,fastest,23,Group2,2,23881.179065967444,23880.4768769769,684.0,3223.0,0.7981109799291618
exp3,6,fastest,16,Group1,3,23881.179065967444,23880.4768769769,2221.0,10904.0,0.7993495347366519
exp3,6,fastest,20,Group2,4,23881.179065967444,23880.4768769769,684.0,3223.0,0.7981109799291618
exp3,6,slowest,4,Group1,20,51345.059370971285,51344.35718198074,2317.0,11042.0,0.7951189318242108
exp3,6,slowest,5,Group1,21,51345.059370971285,51286.84528497979,2271.0,11223.0,0.8014686598478888
exp3,6,slowest,30,Group2,22,51345.059370971285,51286.84528497979,668.0,3261.0,0.8037602820211516
exp3,6,slowest,14,Group1,23,68250.83363999147,68192.61955399998,2207.0,11023.0,0.8023641085340736
exp3,7,fastest,16,Group1,1,0.0,4814.349718042649,2176.0,13119.0,0.8355501813784765
exp3,7,fastest,17,Group2,2,2704.6844069845974,7488.003626989666,3967.0,3902.0,0.011955168119551681
exp3,7,fastest,30,Group2,3,2704.6844069845974,7488.003626989666,739.0,3918.0,0.8211086903897361
exp3,7,slowest,9,Group1,13,32706.86208299594,32705.985364038497,2154.0,13215.0,0.8381181421914926
exp3,7,slowest,2,Group1,14,32706.86208299594,32705.985364038497,2185.0,13526.0,0.8400087867027898
exp3,7,slowest,20,Group2,15,44179.87216298934,44178.9954440319,3967.0,3902.0,0.011955168119551681
exp3,8,fastest,14,Group1,1,0.0,5996.761888964102,2303.0,15357.0,0.8523623309186487
exp3,8,slowest,27,Group2,7,45451.97736204136,45451.07035903493,5029.0,5013.0,0.0
exp3,9,fastest,30,Group2,1,0.0,3074.9052989995107,5412.0,5304.0,0.0
exp3,9,slowest,22,Group2,4,45159.299471008126,45158.535867987666,5384.0,5124.0,0.008836524300441826
exp3,10,fastest,32,Group2,1,0.0,3829.873763024807,6064.0,5925.0,0.0
exp3,10,fastest,24,Group2,2,19945.853576995432,19945.064791012555,6055.0,5945.0,0.007864984433884975
exp3,10,slowest,7,Group1,8,35525.30370897148,35524.5149229886,2778.0,19844.0,0.8606121424987456
exp3,10,slowest,4,Group1,9,67393.54012400145,67352.40978200454,14927.0,20084.0,0.2571784025877084
