arrival_time_epoch_s,compressed_elapsed_ms,tenant_count,tenant_id,turn_index,blocking_ms,prefill_ms,remaining_ttft_ms,ttft_ms
1778695820.132710,2113834.491,32,31,10,36122.0402,38328.2789,0.0000,74450.3191
1778695820.134925,2113836.706,32,13,10,185094.3346,11631.6954,0.0000,196726.0300
1778695820.137820,2113839.601,32,3,10,0.4430,18887.2709,0.0000,18887.7139
1778695820.139061,2113840.842,32,26,10,0.4089,37972.2411,0.0000,37972.6500
1778695820.141859,2113843.640,32,19,10,0.4603,18893.6741,0.0000,18894.1344
1778695820.147246,2113849.027,32,22,10,45.5865,37896.9986,0.0000,37942.5851
1778695820.149730,2113851.511,32,9,10,36121.9905,38282.2728,0.0000,74404.2633
1778695820.152807,2113854.588,32,5,10,16998.3476,39754.3524,0.0000,56752.7000
1778695820.155019,2113856.800,32,21,10,0.4955,18915.2103,0.0000,18915.7058
1778695820.158162,2113859.943,32,28,10,346985.9324,29107.5624,0.0000,376093.4948
1778695820.159999,2113861.780,32,7,10,16998.3310,39735.4716,0.0000,56733.8026
1778695820.160495,2113862.276,32,1,10,0.4777,18917.9490,0.0000,18918.4267
1778695820.163312,2113865.093,32,32,10,16998.3138,57491.1377,0.0000,74489.4515
1778695820.167630,2113869.411,32,16,10,55077.6480,31854.9615,0.0000,86932.6095
1778695820.176524,2113878.305,32,20,10,16998.3644,39762.5644,0.0000,56760.9288
1778695820.184721,2113886.502,32,27,10,55077.6316,48887.4717,0.0000,103965.1033
